sleep_hours,work_hours,exercise_minutes,screen_time,caffeine_intake,breaks_taken,steps,water_intake,mood,stress_level,sleep_quality,productivity_score
7.5,8,30,4,2,5,8500,2.5,happy,low,good,78
5.0,10,0,8,4,1,2000,1.0,sad,high,poor,42
8.0,7,45,3,1,6,10000,3.0,happy,low,excellent,88
6.0,9,15,6,3,2,4500,1.5,neutral,medium,fair,60
9.0,6,60,2,0,7,12000,3.5,happy,low,excellent,92
4.5,12,0,9,5,0,1500,0.5,sad,high,poor,30
7.0,8,20,5,2,4,7000,2.0,neutral,medium,good,65
8.5,7,50,3,1,6,11000,3.0,happy,low,excellent,90
5.5,10,10,7,4,2,3000,1.0,sad,high,poor,45
6.5,8,25,5,2,3,6000,2.0,neutral,medium,fair,58
7.5,7,35,4,1,5,9000,2.5,happy,low,good,80
4.0,11,0,9,5,1,1000,0.5,sad,high,poor,25
8.0,6,55,2,0,7,13000,3.5,happy,low,excellent,95
6.0,9,20,6,3,3,5000,1.5,neutral,medium,fair,55
7.0,8,30,4,2,4,8000,2.5,happy,low,good,75
5.0,10,5,8,4,1,2500,1.0,sad,high,poor,38
9.0,5,70,1,0,8,14000,4.0,happy,low,excellent,98
6.5,9,15,6,3,2,4000,1.5,neutral,medium,fair,52
7.5,8,40,4,1,5,9500,2.5,happy,low,good,82
5.5,11,0,8,5,1,1800,0.8,sad,high,poor,35
8.0,7,45,3,1,6,10500,3.0,happy,low,excellent,87
6.0,8,20,5,2,3,5500,2.0,neutral,medium,fair,62
7.0,7,30,4,2,5,8000,2.5,happy,low,good,76
4.5,12,0,10,5,0,1200,0.5,sad,high,poor,28
8.5,6,60,2,0,7,12500,3.5,happy,low,excellent,93
6.5,9,20,6,3,3,5000,2.0,neutral,medium,fair,57
7.5,7,35,3,1,5,9200,2.5,happy,low,good,81
5.0,10,5,7,4,2,2800,1.0,sad,high,poor,40
8.0,7,50,3,1,6,10800,3.0,happy,low,excellent,89
6.0,9,15,6,3,2,4500,1.5,neutral,medium,fair,54
7.0,8,25,4,2,4,7500,2.0,happy,low,good,73
5.5,10,10,7,4,1,3200,1.0,sad,high,poor,43
9.0,5,65,2,0,8,13500,4.0,happy,low,excellent,96
6.5,8,20,5,2,3,5500,2.0,neutral,medium,fair,60
7.5,7,40,4,1,5,9000,2.5,happy,low,good,79
5.0,11,0,8,5,1,2000,0.8,sad,high,poor,33
8.0,6,55,2,0,7,12000,3.0,happy,low,excellent,91
6.0,9,18,6,3,2,4800,1.5,neutral,medium,fair,56
7.0,8,28,4,2,4,7800,2.5,happy,low,good,74
4.5,12,0,9,5,0,1300,0.5,sad,high,poor,27
8.5,6,65,2,0,7,13000,3.5,happy,low,excellent,94
6.5,9,18,5,2,3,5200,2.0,neutral,medium,fair,59
7.5,7,38,3,1,5,9400,2.5,happy,low,good,83
5.5,10,8,7,4,1,3000,1.0,sad,high,poor,41
8.0,7,48,3,1,6,11200,3.0,happy,low,excellent,88
6.0,8,22,5,2,3,5800,2.0,neutral,medium,fair,63
7.0,8,32,4,2,4,8200,2.5,happy,low,good,77
5.0,10,0,8,4,1,2200,1.0,sad,high,poor,36
9.0,5,72,1,0,8,14500,4.0,happy,low,excellent,99
6.5,9,16,6,3,2,4200,1.5,neutral,medium,fair,53
7.5,8,42,4,1,5,9600,2.5,happy,low,good,84
4.0,11,0,9,5,0,1100,0.5,sad,high,poor,24
8.0,6,58,2,0,7,12800,3.5,happy,low,excellent,92
6.0,9,14,6,3,2,4600,1.5,neutral,medium,fair,55
7.0,8,26,4,2,4,7600,2.5,happy,low,good,72
5.5,11,5,8,5,1,2600,0.8,sad,high,poor,37
8.5,6,62,2,0,7,12600,3.5,happy,low,excellent,93
6.5,9,19,6,2,3,5100,2.0,neutral,medium,fair,58
7.5,7,36,3,1,5,9100,2.5,happy,low,good,80
5.0,10,3,7,4,1,2400,1.0,sad,high,poor,39
8.0,7,52,3,1,6,10900,3.0,happy,low,excellent,90
6.0,8,21,5,2,3,5700,2.0,neutral,medium,fair,61
7.0,8,29,4,2,5,8100,2.5,happy,low,good,75
4.5,11,0,9,5,0,1400,0.5,sad,high,poor,29
9.0,5,68,1,0,8,14200,4.0,happy,low,excellent,97
6.5,9,17,5,2,3,4900,2.0,neutral,medium,fair,54
7.5,7,39,4,1,5,9300,2.5,happy,low,good,82
5.5,10,7,7,4,1,2900,1.0,sad,high,poor,42
8.0,7,47,3,1,6,10700,3.0,happy,low,excellent,88
6.0,9,23,6,3,3,5300,1.5,neutral,medium,fair,57
7.0,8,31,4,2,4,7900,2.5,happy,low,good,76
5.0,10,2,8,4,1,2100,1.0,sad,high,poor,34
8.5,6,63,2,0,7,12900,3.5,happy,low,excellent,94
6.5,9,18,5,2,3,5000,2.0,neutral,medium,fair,60
7.5,8,41,4,1,5,9700,2.5,happy,low,good,85
4.0,12,0,9,5,0,1000,0.5,sad,high,poor,23
8.0,6,56,2,0,7,12100,3.0,happy,low,excellent,91
